out	asmid	species	strain	locustag	busco	hlen	table	genome_fa
GCA_027627235.1_Agrocybe_chaxingu_MP-N11_reassembly	GCA_027627235.1_Agrocybe_chaxingu_MP-N11_reassembly	Agrocybe chaxingu	MP-N11	F3B668AA	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_027627235.1_Agrocybe_chaxingu_MP-N11_reassembly.fa.gz
GCA_015484485.1_Agrped1	GCA_015484485.1_Agrped1	Agrocybe pediades	AH 40210	FCB97543	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_015484485.1_Agrped1.fa.gz
GCA_013053245.1_LU_AGP_1.0	GCA_013053245.1_LU_AGP_1.0	Agrocybe pediades	CBS 102.39	F8E2FCA9	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_013053245.1_LU_AGP_1.0.fa.gz
GCA_051996695.1_ASM5199669v1	GCA_051996695.1_ASM5199669v1	Agrocybe pediades	ZRL20220683_2	F878FA2F	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_051996695.1_ASM5199669v1.fa.gz
GCA_964017145.1_gfAgrPrae1.1	GCA_964017145.1_gfAgrPrae1.1	Agrocybe praecox		F6D8FC91	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_964017145.1_gfAgrPrae1.1.fa.gz
GCA_051996675.1_ASM5199667v1	GCA_051996675.1_ASM5199667v1	Agrocybe striatipes	ZRL20211296	FAAAEEC5	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_051996675.1_ASM5199667v1.fa.gz
GCA_022814335.1_ASM2281433v1	GCA_022814335.1_ASM2281433v1	Agyrium rufum	Spribille 39798	FDE1693B	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_022814335.1_ASM2281433v1.fa.gz
GCA_051529075.1_YNP63	GCA_051529075.1_YNP63	Akanthomyces attenuatus	MUC8126	F0E6B10C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_051529075.1_YNP63.fa.gz
GCA_030411515.1_ASM3041151v1	GCA_030411515.1_ASM3041151v1	Akanthomyces dipterigenus	MBC 259	F671B47F	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030411515.1_ASM3041151v1.fa.gz
GCA_030779985.1_ASM3077998v1	GCA_030779985.1_ASM3077998v1	Akanthomyces dipterigenus	MBC 561	F8CCA6CF	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030779985.1_ASM3077998v1.fa.gz
GCA_030781665.1_ASM3078166v1	GCA_030781665.1_ASM3078166v1	Akanthomyces dipterigenus	MBC 608	F363506E	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030781665.1_ASM3078166v1.fa.gz
GCA_030782645.1_ASM3078264v1	GCA_030782645.1_ASM3078264v1	Akanthomyces dipterigenus	MBC 628	FD0BE588	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030782645.1_ASM3078264v1.fa.gz
GCA_030781925.1_ASM3078192v1	GCA_030781925.1_ASM3078192v1	Akanthomyces dipterigenus	MBC 678	FD6D61A6	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030781925.1_ASM3078192v1.fa.gz
GCA_030783805.1_ASM3078380v1	GCA_030783805.1_ASM3078380v1	Akanthomyces dipterigenus	MBC 685	FA3C414C	fungi_odb12	24	1	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/do_annotation_asco/input_clean_genomes/GCA_030783805.1_ASM3078380v1.fa.gz
